Registered Provider Name,Address,Postcode,State,Phone,Email,Website
# Enabled4life Ndis Plan Management,"Kings Cross, Kings Cross, NSW 1340",1340,NSW,1300 667 454,supportservices@enabled4life.com.au,www.enabled4life.com.au
Nextsense,"Building 39, Old Gladesville Hospital, Punt Road, Gladesville, NSW 1675",1675,NSW,1300 581 391,hello@nextsense.org.au,www.nextsense.org.au
Pursue Ability,"Po Box 179, Ashfield, NSW 1800",1800,NSW,0433 591 808,scott.papas@pursueability.com.au,
Recreation Sports And Aquatics Club,"Po Box 120, Bankstown, NSW 1885",1885,NSW,02 9790 5001,rsaclub@bigpond.net.au,www.disabledsportrsac.org.au
Urbanyou Pty Ltd,"120 Sussex Street, Sydney, NSW 2000",2000,NSW,1300 048 566,support@urbanyou.com.au,www.urbanyou.com.au
Edenbridge Living,"131 Macquarie Street, Sydney, NSW 2000",2000,NSW,02 8065 6111,hello@edenbridgeliving.com.au,edenbridgeliving.com.au
Qsss,"1b George Street, The Rocks, NSW 2000",2000,NSW,1300 378 777,admin@qsss.com.au,www.qsss.com.au
Active Ability Pty Ltd,"2 Bulletin Place, Sydney, NSW 2000",2000,NSW,02 8678 7874,hr@activeability.com.au,www.activeability.com.au
Supreme Care,"200 George Street, Sydney, NSW 2000",2000,NSW,1300 611 311,info@spcare.com.au,www.spcare.com.au
Wesley Community Services Limited,"220 Pitt Street, Sydney, NSW 2000",2000,NSW,1300 086 906,nitin.parakh@wesleymission.org.au,www.wesleymission.org.au
Clark Psychological Consultants Pty Ltd,"309 Kent Street, Sydney, NSW 2000",2000,NSW,0401 099 883,justin@jcpsychology.net,
Centa Group Pty Ltd,"347-353 Sussex Street, Sydney, NSW 2000",2000,NSW,1300 971 278,info@centagroup.com.au,www.centagroup.com.au
Therapy Max,"4 College Street, Sydney, NSW 2000",2000,NSW,02 9356 3877,reception@therapymax.com.au,www.therapymax.com.au
Adacare - Australian Disability And Aged,"424-430 George Street, Sydney, NSW 2000",2000,NSW,02 9232 7055,sydney@adacare.com.au,www.adacare.com.au
Integra,"56 Clarence Street, Sydney, NSW 2000",2000,NSW,1800 696 347,choiceandcontrol@myintegra.com.au,www.myintegra.com.au
Happy Angels Homes Pty Ltd,"83 York Street, Sydney, NSW 2000",2000,NSW,0421 136 138,happyangelshome@yahoo.com,www.happyangelshomes.com.au
Jeder Institute Ltd.,"9 George Street, Sydney, NSW 2000",2000,NSW,0409 646 665,michaela@jeder.com.au,www.jeder.com.au
Owen Kessels,"9 George Street, Sydney, NSW 2000",2000,NSW,0423 737 018,owenkessels@gmail.com,www.owenkessels.com
# Enabled4life Ndis Plan Management,"Darling Harbour, Darling Harbour, NSW 2000",2000,NSW,1300 667 454,supportservices@enabled4life.com.au,www.enabled4life.com.au
Omnia Inclusive Employment Solutions Lim,"Deewhy, Dee Why, NSW 2000",2000,NSW,02 8459 7100,ndisdeewhy@omnia-inclusive.com.au,www.omnia-inclusive.com.au
Blue Fox Health,"Elizabeth Street, Sydney, NSW 2000",2000,NSW,0439 072 115,roger@bluefoxhealth.com.au,www.bluefoxhealth.com.au
! ! Alliance Plan Management Services,"George Street, Sydney, NSW 2000",2000,NSW,1800 161 191,hello@allianceplanmanagement.com.au,www.allianceplanmanagement.com.au
Acts 3,"George Street, Sydney, NSW 2000",2000,NSW,1300 290 379,info@acts3.org.au,www.acts3.org.au
Connect Hearing,"L 1 10-14 Spring St, Sydney, NSW 2000",2000,NSW,02 9394 8475,sydney@connecthearing.com.au,www.connecthearing.com.au
Hendercare,"L 1 299 Elizabeth Street, Sydney, NSW 2000",2000,NSW,1300 764 433,quality@hendercare.com.au,www.hendercare.com.au
Danny Met Sally,"L 1 9 Barrack Street, Sydney, NSW 2000",2000,NSW,0427 606 868,ashleigh.cameron@dannymetsally.com.au,
Assistive Tech Suppliers,"L 14 60 Margaret St, Sydney, NSW 2000",2000,NSW,0411 860 323,sibi@assistivetechs.com,www.assistivetechs.com
United Support Services,"L 2 303 Pitt Street, Sydney, NSW 2000",2000,NSW,0449 212 587,pukar.pandit@unitedsupportservices.com.au,www.unitedsupportservices.com.au
Umbo Pty Ltd,"L 2 383-385 George Street, Sydney, NSW 2000",2000,NSW,0432 433 163,francesca@umbo.com.au,umbo.com.au
Ability First Australia Community Housin,"L 39 259 George Street, Sydney, NSW 2000",2000,NSW,0418 710 558,rodney.langdon@abilityfirst.org.au,
Uniting (Nsw.Act),"L 4 222 Pitt Street, Sydney, NSW 2000",2000,NSW,1800 864 846,disability@uniting.org,www.uniting.org/disability
Helpz,"L 9 56 Clarence Street, Sydney, NSW 2000",2000,NSW,0437 934 690,dburgess@helpz.com.au,www.helpz.com.au
